role,target,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog
preferred name,3-Isopropenyl-6-oxo-heptanal,4-(4-Hydroxyphenyl)butan-2-one,2-Ethylhexanoic acid,Methacrylamide,Myrcene,Ethyl acrylate,"3,7-Dimethyl-2,6-octadienal",Tetraacetylethylenediamine,Acetamide,Ethylene glycol monoethyl ether acetate,Daminozide,Bis(2-ethylhexyl)hexanedioate,Acrylamide,Methacrylonitrile,"N,N'-Methylenebisacrylamide",Glufosinate-ammonium
dsstox_sid,DTXSID40874121,DTXSID5044495,DTXSID9025293,DTXSID8029600,DTXSID6025692,DTXSID4020583,DTXSID6024836,DTXSID5040752,DTXSID7020005,DTXSID9021928,DTXSID9020370,DTXSID0020606,DTXSID5020027,DTXSID1024176,DTXSID8025595,DTXSID1024120
molecular weight,168.236,164.204,144.214,85.106,136.238,100.117,152.237,228.248,59.068,132.159,160.173,370.574,71.079,67.091,154.169,198.159
similarity,1.00001,0.2127659574468085,0.20930232558139536,0.20588235294117646,0.17777777777777778,0.17073170731707318,0.1702127659574468,0.15789473684210525,0.15625,0.15555555555555556,0.15217391304347827,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14
CHR:[other],GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,10.82mg/kg/day
CHR:adrenal gland,GenRA Neg Act=0 (0.29) AUC=0 p=0.94,no_data,no_data,no_data,no_effect,no_effect,210mg/kg/day,no_data,no_effect,no_data,250mg/kg/day,no_effect,no_data,no_data,no_data,no_effect
CHR:albumin,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,66.96mg/kg/day
CHR:appearance and color,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect
CHR:body weight,GenRA Pos Act=1 (0.722) AUC=0 p=0.96,no_data,no_data,no_data,500mg/kg/day,100mg/kg/day,60mg/kg/day,no_data,no_effect,no_data,no_effect,1250mg/kg/day,no_data,no_data,no_data,22.6mg/kg/day
CHR:bone,GenRA Neg Act=0 (0.257) AUC=0 p=0.765,no_data,no_data,no_data,no_effect,no_effect,60mg/kg/day,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data
CHR:bone marrow,GenRA Neg Act=0 (0.284) AUC=0 p=0.68,no_data,no_data,no_data,500mg/kg/day,no_data,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect
CHR:brain,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
CHR:clinical signs,GenRA Neg Act=0 (0.286) AUC=0 p=0.955,no_data,no_data,no_data,500mg/kg/day,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,8.5mg/kg/day
CHR:clitoral gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data
CHR:ear,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect
CHR:epididymis,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
CHR:erythrocyte (rbc) count differential,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect
CHR:esophagus,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
CHR:eye,GenRA Neg Act=0 (0.28) AUC=0 p=0.925,no_data,no_data,no_data,no_effect,100mg/kg/day,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,281.5mg/kg/day
CHR:food consumption,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect
CHR:full gross necropsy,GenRA Neg Act=0 (0.29) AUC=0 p=0.97,no_data,no_data,no_data,no_effect,no_effect,260mg/kg/day,no_data,no_effect,no_data,848.3mg/kg/day,no_effect,no_data,no_data,no_data,no_effect
CHR:gallbladder,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data
CHR:glucose,GenRA Neg Act=0 (0.312) AUC=0 p=0.66,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,22.6mg/kg/day
CHR:harderian gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data
CHR:heart,GenRA Neg Act=0 (0.126) AUC=0 p=0.905,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,8.5mg/kg/day
CHR:intestine large,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
CHR:intestine small,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
CHR:kidney,GenRA Neg Act=0 (0.451) AUC=0.5 p=0.445,no_data,no_data,no_data,250mg/kg/day,no_effect,60mg/kg/day,no_data,no_effect,no_data,187.5mg/kg/day,no_effect,no_data,no_data,no_data,no_effect
CHR:larynx,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
CHR:leukocyte (wbc) count differential,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect
CHR:liver,GenRA Pos Act=1 (0.567) AUC=0 p=0.99,no_data,no_data,no_data,250mg/kg/day,no_effect,no_effect,no_data,1180mg/kg/day,no_data,423.2mg/kg/day,1800mg/kg/day,no_data,no_data,no_data,no_effect
