role,target,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog
preferred name,Acetaldehyde,"N,N-Dimethylformamide",Formamide,Glutaraldehyde,"2E,4E-Hexadienoic acid",Dimethylarsinic acid,Acetamide,"1,2-Benzenedicarboxaldehyde",N-Nitrosodimethylamine,Benzaldehyde,"3,7-Dimethyl-2,6-octadienal","N,N'-Bis(1-formamido-2,2,2-trichloroethyl)piperazine",Dimethyl phosphonate,Methyl methanesulfonate,Ethyl acrylate,Monosodium methanearsonate
dsstox_sid,DTXSID5039224,DTXSID6020515,DTXSID8025337,DTXSID6025355,DTXSID3021277,DTXSID7020508,DTXSID7020005,DTXSID6032514,DTXSID7021029,DTXSID8039241,DTXSID6024836,DTXSID5032654,DTXSID5020493,DTXSID7020845,DTXSID4020583,DTXSID2025686
molecular weight,44.053,73.095,45.041,100.117,112.128,137.998,59.068,134.134,74.083,106.124,152.237,434.950,110.049,110.130,100.117,161.951
similarity,1.00001,0.36363636363636365,0.3333333333333333,0.2,0.19047619047619047,0.16666666666666666,0.16666666666666666,0.15789473684210525,0.15384615384615385,0.15,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.13636363636363635,0.13333333333333333
CHR:adrenal gland,GenRA Neg Act=0 (0.173) AUC=0.033333333333333326 p=0.985,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,210mg/kg/day,158mg/kg/day,no_effect,no_data,no_effect,32.9mg/kg/day
CHR:alanine aminotransferase (alt/sgpt),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,25mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:albumin,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,40mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,93.1mg/kg/day
CHR:appearance and color,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_data,no_data,no_data,no_effect
CHR:aspartate aminotransferase (ast/sgot),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,6mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:body weight,GenRA Pos Act=1 (0.806) AUC=0 p=1,100ppm,40mg/kg/day,0.1ppm,5000mg/kg/day,40mg/kg/day,no_effect,no_data,no_effect,no_effect,60mg/kg/day,117mg/kg/day,200mg/kg/day,no_data,100mg/kg/day,8mg/kg/day
CHR:bone,GenRA Neg Act=0 (0.243) AUC=0 p=0.975,no_data,no_effect,no_effect,no_data,7.3mg/kg/day,no_data,no_data,no_data,no_effect,60mg/kg/day,no_data,no_effect,no_data,no_effect,no_data
