role,target,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog
preferred name,Carbon dioxide,Dibromoacetonitrile,"1,6-Diisocyanatohexane",Silica,Cyanamide,Formamide,Sulfuryl fluoride,Arsenic acid,Urea,Chromic(VI) acid,Acetonitrile,"2,2-Dibromo-3-nitrilopropionamide",Chlorothalonil,Sodium nitrite,Barium metaborate,Trisodium arsenate
dsstox_sid,DTXSID4027028,DTXSID3024940,DTXSID4024143,DTXSID1029677,DTXSID9034490,DTXSID8025337,DTXSID9034945,DTXSID1034341,DTXSID4021426,DTXSID8034455,DTXSID7020009,DTXSID5032361,DTXSID0020319,DTXSID0020941,DTXSID1034347,DTXSID9039367
molecular weight,44.009,198.845,168.196,60.083,42.041,45.041,102.050,141.942,60.056,118.008,41.053,241.870,265.900,68.995,222.940,207.887
similarity,1.00001,0.18181818181818182,0.15789473684210525,0.14285714285714285,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.10526315789473684,0.1,0.1,0.1,0.1
CHR:[other],GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,5.92mg/kg/day,no_data,no_data,12.5mg/kg/day
CHR:adrenal gland,GenRA Neg Act=0 (0.177) AUC=0 p=0.96,no_effect,no_effect,no_data,no_effect,no_effect,80ppm,no_data,no_effect,no_data,no_data,no_effect,374mg/kg/day,no_effect,no_data,no_effect
CHR:alanine aminotransferase (alt/sgpt),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,10mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,5.1mg/kg/day,no_data,no_data,no_data
CHR:albumin,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,2.5mg/kg/day,no_data,80ppm,no_data,no_data,no_data,no_data,no_data,10mg/kg/day,no_data,no_data,no_data
CHR:albumin-globulin ratio,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,7.5mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:alkaline phosphatase (alp/alk),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,183mg/kg/day,no_data,no_data,no_data
CHR:anemia,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,7.5mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,10mg/kg/day,no_data,no_data,no_data
CHR:appearance and color,GenRA Neg Act=0 (0.135) AUC=0.25 p=0.48,no_data,no_data,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,183mg/kg/day,no_effect,no_data,no_effect
CHR:aspartate aminotransferase (ast/sgot),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,10mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:bile duct,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,12.5mg/kg/day
CHR:bilirubin,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,1.8mg/kg/day,no_data,no_data,no_data
CHR:blood,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,80mg/kg/day,no_data,no_data,no_data
CHR:body weight,GenRA Pos Act=1 (0.907) AUC=0.1111111111111111 p=0.71,4mg/kg/day,0.125ppm,no_data,2mg/kg/day,40mg/kg/day,79.35mg/kg/day,no_data,no_effect,no_data,no_data,71.29mg/kg/day,10mg/kg/day,100mg/kg/day,no_data,1.6mg/kg/day
CHR:bone,GenRA Neg Act=0 (0.22) AUC=0.16666666666666669 p=0.48,no_effect,no_data,no_data,no_data,no_effect,80ppm,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data
CHR:bone marrow,GenRA Neg Act=0 (0.21) AUC=0 p=0.95,no_data,no_effect,no_data,no_effect,80mg/kg/day,no_effect,no_data,no_effect,no_data,no_data,no_effect,10mg/kg/day,no_effect,no_data,no_effect
CHR:brain,GenRA Neg Act=0 (0.271) AUC=0.2857142857142857 p=0.84,no_effect,no_effect,no_data,7.5mg/kg/day,no_effect,79.35mg/kg/day,no_data,no_effect,no_data,no_data,no_effect,20mg/kg/day,no_effect,no_data,no_effect
CHR:calcium,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,7.5mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:chloride,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,80ppm,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:cholesterol,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,2mg/kg/day,no_data,80ppm,no_data,no_data,no_data,no_data,no_data,10mg/kg/day,no_data,no_data,no_data
CHR:clinical signs,GenRA Neg Act=0 (0.404) AUC=0.2916666666666667 p=0.83,no_effect,0.125ppm,no_data,7.5mg/kg/day,no_effect,20ppm,no_data,no_effect,no_data,no_data,no_effect,3mg/kg/day,no_effect,no_data,no_effect
CHR:clitoral gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data
CHR:creatinine,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,10mg/kg/day,no_data,80ppm,no_data,no_data,no_data,no_data,no_data,175mg/kg/day,no_data,no_data,no_data
CHR:ear,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect
CHR:epididymis,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect
CHR:erythrocyte (rbc) count differential,GenRA Pos Act=1 (0.536) AUC=0.5 p=0.415,no_data,no_effect,no_data,7.5mg/kg/day,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,10mg/kg/day,100mg/kg/day,no_data,no_data
CHR:esophagus,GenRA Neg Act=0 (0.237) AUC=0.875 p=0.07,4mg/kg/day,no_effect,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_data,no_effect,30.4mg/kg/day,no_effect,no_data,no_effect
CHR:eye,GenRA Neg Act=0 (0.177) AUC=0 p=0.965,no_effect,no_effect,no_data,no_effect,no_effect,80ppm,no_data,no_effect,no_data,no_data,no_effect,10mg/kg/day,no_effect,no_data,no_effect
CHR:food consumption,GenRA Neg Act=0 (0.341) AUC=0 p=0.975,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,71.29mg/kg/day,10mg/kg/day,100mg/kg/day,no_data,no_effect
CHR:full gross necropsy,GenRA Neg Act=0 (0.093) AUC=0.1111111111111111 p=0.715,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_data,225mg/kg/day,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect
CHR:gallbladder,GenRA Neg Act=0 (0.22) AUC=0.16666666666666669 p=0.54,no_effect,no_data,no_data,10mg/kg/day,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data
CHR:gamma glutamyl transferase (ggt),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,7.5mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:globulins,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,7.5mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,10mg/kg/day,no_data,no_data,no_data
CHR:glucose,GenRA Neg Act=0 (0.436) AUC=0.5833333333333333 p=0.405,no_data,no_data,no_data,1mg/kg/day,no_data,79.35mg/kg/day,no_data,no_effect,no_data,no_data,no_effect,175mg/kg/day,no_effect,no_data,no_effect
CHR:harderian gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data
CHR:heart,GenRA Neg Act=0 (0.177) AUC=0 p=0.97,no_effect,no_effect,no_data,no_effect,no_effect,79.35mg/kg/day,no_data,no_effect,no_data,no_data,no_effect,20mg/kg/day,no_effect,no_data,no_effect
CHR:hematocrit (hct),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,7.5mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,10mg/kg/day,100mg/kg/day,no_data,no_data
CHR:hemoglobin (hgb),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,7.5mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,10mg/kg/day,100mg/kg/day,no_data,no_data
CHR:intestine large,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect
CHR:intestine small,GenRA Neg Act=0 (0.084) AUC=0.2222222222222222 p=0.54,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_data,no_effect,40mg/kg/day,no_effect,no_data,no_effect
CHR:ketones,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,2.5mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:kidney,GenRA Neg Act=0 (0.424) AUC=0.7083333333333334 p=0.1,4mg/kg/day,no_effect,no_data,7.5mg/kg/day,no_effect,79.35mg/kg/day,no_data,no_effect,no_data,no_data,no_effect,1.5mg/kg/day,no_effect,no_data,no_effect
CHR:larynx,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect
CHR:leukocyte (wbc) count differential,GenRA Neg Act=0 (0.555) AUC=0.6666666666666666 p=0.2,no_data,no_effect,no_data,2.5mg/kg/day,no_data,200ppm,no_data,no_data,no_data,no_data,no_data,225mg/kg/day,no_effect,no_data,no_data
CHR:liver,GenRA Neg Act=0 (0.453) AUC=0.36000000000000004 p=0.775,no_effect,no_effect,no_data,7.5mg/kg/day,40mg/kg/day,79.35mg/kg/day,no_data,no_effect,no_data,no_data,71.32mg/kg/day,0.7mg/kg/day,no_effect,no_data,no_effect
CHR:lung,GenRA Neg Act=0 (0.271) AUC=0 p=0.99,no_effect,no_effect,no_data,no_effect,80mg/kg/day,79.35mg/kg/day,no_data,no_effect,no_data,no_data,no_effect,70mg/kg/day,no_effect,no_data,no_effect
CHR:lymph node,GenRA Neg Act=0 (0.347) AUC=0.06666666666666665 p=0.965,no_data,no_effect,no_data,no_effect,no_data,80ppm,no_data,no_effect,no_data,no_data,no_effect,20mg/kg/day,100mg/kg/day,no_data,no_effect
CHR:lymphocyte,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,2.5mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,10mg/kg/day,no_data,no_data,no_data
CHR:mammary gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect
CHR:mean corpuscular (cell) volume (mcv),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,2mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,10mg/kg/day,100mg/kg/day,no_data,no_data
CHR:mean corpuscular hemoglobin (mch),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,0.4mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,10mg/kg/day,no_data,no_data,no_data
CHR:mean corpuscular hemoglobin concentration (mchc),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,10mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,10mg/kg/day,no_data,no_data,no_data
CHR:mortality,GenRA Neg Act=0 (0.355) AUC=0.125 p=0.98,no_effect,no_effect,no_data,16.9mg/kg/day,no_effect,79.35mg/kg/day,no_data,no_effect,no_data,no_data,no_effect,10mg/kg/day,no_effect,no_data,12.5mg/kg/day
CHR:nerve,GenRA Neg Act=0 (0.084) AUC=0.2222222222222222 p=0.485,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_data,no_effect,20mg/kg/day,no_effect,no_data,no_effect
CHR:neutrophils,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,10mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,10mg/kg/day,no_data,no_data,no_data
CHR:nose,GenRA Neg Act=0 (0.226) AUC=0.4375 p=0.595,no_effect,0.125ppm,no_data,no_effect,no_effect,80ppm,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect
CHR:occult blood,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect
CHR:oral mucosa,GenRA Pos Act=1 (1) AUC=0 p=1,4mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:ovary,GenRA Pos Act=1 (0.177) AUC=0.8125 p=0.07,no_effect,no_effect,no_data,16.9mg/kg/day,no_effect,no_effect,no_data,no_effect,no_data,no_data,no_effect,112.5mg/kg/day,no_effect,no_data,no_effect
